Date,Content,URL,Thread
"Jun-23-2023, 12:18:55","friday stream (psyop) edition here: https://www.youtube.com/watch?v=4g1ijfwn5mm&ab_channel=sheep_xing  who won? josie won 35k, letty won 20k as the runner-up was letty a plant? no, but later in the show she would go to production to consult with them about messing with people will there be a season 2? yes, in the winter when josie stream? planned streaming schedule: monday/tuesday/friday/every other sunday around 6-7pm mst  keep up with the cast of season 1 socials: https://pastebin.com/g4zkstq8  missed a day? archive complete: days 1-42 + the full motion capture archives https://pastes.io/sydm4vdq5o  thread template if needed https://pastebin.com/raw/uruvg46q  previous:",http://boards.4chan.org/bant/thread/17930158/ftl-fish-tank-live-1306#p17930158,_ftl____Fish_Tank_Live__1306
"Jun-23-2023, 12:19:22",erm i love josie she spoiling us with all these streams lads,http://boards.4chan.org/bant/thread/17930158/ftl-fish-tank-live-1306#p17930165,_ftl____Fish_Tank_Live__1306
"Jun-23-2023, 12:19:59",status?,http://boards.4chan.org/bant/thread/17930158/ftl-fish-tank-live-1306#p17930167,_ftl____Fish_Tank_Live__1306
"Jun-23-2023, 12:20:22","me and josie, we cool",http://boards.4chan.org/bant/thread/17930158/ftl-fish-tank-live-1306#p17930171,_ftl____Fish_Tank_Live__1306
"Jun-23-2023, 12:20:24",being gaslighted,http://boards.4chan.org/bant/thread/17930158/ftl-fish-tank-live-1306#p17930173,_ftl____Fish_Tank_Live__1306
"Jun-23-2023, 12:20:25",betrayed even after he made chike it up,http://boards.4chan.org/bant/thread/17930158/ftl-fish-tank-live-1306#p17930174,_ftl____Fish_Tank_Live__1306
"Jun-23-2023, 12:20:26",nibbled,http://boards.4chan.org/bant/thread/17930158/ftl-fish-tank-live-1306#p17930175,_ftl____Fish_Tank_Live__1306
"Jun-23-2023, 12:20:36",what do you think is going thru his mind rn,http://boards.4chan.org/bant/thread/17930158/ftl-fish-tank-live-1306#p17930179,_ftl____Fish_Tank_Live__1306
"Jun-23-2023, 12:20:39",nibbled,http://boards.4chan.org/bant/thread/17930158/ftl-fish-tank-live-1306#p17930180,_ftl____Fish_Tank_Live__1306
"Jun-23-2023, 12:20:45",letty is a princess!,http://boards.4chan.org/bant/thread/17930158/ftl-fish-tank-live-1306#p17930182,_ftl____Fish_Tank_Live__1306
"Jun-23-2023, 12:20:50",chiking josie,http://boards.4chan.org/bant/thread/17930158/ftl-fish-tank-live-1306#p17930184,_ftl____Fish_Tank_Live__1306
"Jun-23-2023, 12:21:02",drama waiting room,http://boards.4chan.org/bant/thread/17930158/ftl-fish-tank-live-1306#p17930187,_ftl____Fish_Tank_Live__1306
"Jun-23-2023, 12:21:45",i'm in love,http://boards.4chan.org/bant/thread/17930158/ftl-fish-tank-live-1306#p17930197,_ftl____Fish_Tank_Live__1306
"Jun-23-2023, 12:21:46","forgive her, for she knows not what she does",http://boards.4chan.org/bant/thread/17930158/ftl-fish-tank-live-1306#p17930198,_ftl____Fish_Tank_Live__1306
"Jun-23-2023, 12:21:48",sex with sylvia,http://boards.4chan.org/bant/thread/17930158/ftl-fish-tank-live-1306#p17930199,_ftl____Fish_Tank_Live__1306
"Jun-23-2023, 12:22:19",good ending: sam gaslights zoomers about what he did claiming it was legal,http://boards.4chan.org/bant/thread/17930158/ftl-fish-tank-live-1306#p17930203,_ftl____Fish_Tank_Live__1306
"Jun-23-2023, 12:22:54",how do i get twitter to write my next sketch,http://boards.4chan.org/bant/thread/17930158/ftl-fish-tank-live-1306#p17930207,_ftl____Fish_Tank_Live__1306
"Jun-23-2023, 12:23:16","in loving memory of ariel ferraiuolo  march 24, 1998 - january 1, 2024 ariel was a special daughter, sister, femcel, grandchild, wagie, e-whore & friend.  she will always be in our hearts and minds.",http://boards.4chan.org/bant/thread/17930158/ftl-fish-tank-live-1306#p17930208,_ftl____Fish_Tank_Live__1306
"Jun-23-2023, 12:23:20",i guess it's confirmed she's the official winner of season 1 now,http://boards.4chan.org/bant/thread/17930158/ftl-fish-tank-live-1306#p17930210,_ftl____Fish_Tank_Live__1306
"Jun-23-2023, 12:23:56","does josie really think that the audience she has gained from the show and the mde-sphere are going to be interested in a 2012-tier weed lmao smosh parody channel? and the possibility of them bringing up the marky shit isn't going to win her any favours with the wigger crew unless this is a bit, in which case she's a greater shitposter than i give her credit for",http://boards.4chan.org/bant/thread/17930158/ftl-fish-tank-live-1306#p17930216,_ftl____Fish_Tank_Live__1306
