Date,Content,URL,Thread
"Jun-17-2023, 16:23:22","2784293 hit the image limit please keep loli on western styles on where do i start? https://rentry.org/sdg-link   news https://www.sdcompendium.com/doku.php?id=monthly_news_0094   models and mixes826 https://rentry.org/sdmodels https://rentry.org/hdgrecipes https://huggingface.co/warriormama777/orangemixs/tree/main/models https://huggingface.co/andite/anything-v4.0 https://huggingface.co/syaimu/7th_layer https://huggingface.co/anonymousm/based-mixes https://huggingface.co/gsdf/counterfeit-v3.0   loras https://gitgud.io/gayshit/makesomefuckingporn#lora-list https://rentry.org/hdglorarepo https://rentry.org/trashcollects   recommended extensions these can be installed in the extensions tab either using the available list or install from url.  ultimate-upscale-for-automatic1111 a1111-sd-webui-tagcomplete sd-dynamic-prompts sd-webui-controlnet auto-sd-paint-ext multidiffusion with tiled vae https://github.com/jexom/sd-webui-depth-lib   recommended models for /e/ content anything-v3.0, abyssorangemix3 / aom3-a1, nutmegmix, g-anonmix, 7th layer anime, anything-v4.5, based65/based66, counterfeit-v3.0   resources old getting started guide: https://rentry.org/sd-mashup tags: https://danbooru.donmai.us/wiki_pages/tag_groups highres fix calculator: https://preyx.github.io/sd-scale-calc/ lora training guide: https://rentry.org/lora_train https://rentry.org/lora-linux-troubleshooting /g/ anon's advanced merging tutorial: https://rentry.org/blockmergeexplained model similarity calculator: https://huggingface.co/josephuscheung/asimilaritycalculatior inpainting: https://rentry.org/inpainting-guide-sd animation: https://rentry.org/animanon   relateddgdg/g/sdg/trash/sdgsi",http://boards.4chan.org/e/thread/2786465/sdg-stable-diffusion-ai-general#p2786465,_sdg__Stable_Diffusion___AI_General
"Jun-17-2023, 16:23:56",request anchor,http://boards.4chan.org/e/thread/2786465/sdg-stable-diffusion-ai-general#p2786466,_sdg__Stable_Diffusion___AI_General
"Jun-17-2023, 16:25:31","faq:   what's with catbox? 4chan strips metadata containing prompt info, but catbox preserves it. prompt information can be loaded from the png info tab of the webui. https://catbox.moe/ for temporary storage and slightly higher size limit: https://litterbox.catbox.moe/ 4chanx extension: https://gist.github.com/catboxanon/ca46eb79ce55e3216aecab49d5c7a3fb pro tip: look at people's uploads to see if their filename contains a catbox link. if it does, you don't have to ask for catbox, it's already there.   how do i fix bad hands? try the sd-webui-depth-lib (needs sd-webui-controlnet) and the inpainting guide in the op also try the krita plugin (auto-sd-paint-ext) for an improved inpainting/img2img workflow there are also embeddings in the negative prompt that attempt to address this. i personally don't like the approach because it can change the style too much, but some people swear by them. https://huggingface.co/zylux/orangechillmix/blob/main/badhandsv5-neg.pt   i can't make large images, i'm running out of vram cut out highres fix if you haven't already, it's very vram hungry. the ultimate upscale and multidifussion extensions upscale using tiles, allowing you to upscale images in pieces, taking only the vram necessary for the tile size you choose. the tradeoffs are tiling artifacts (it's stitching photos together), and it takes more time. https://github.com/automatic1111/stable-diffusion-webui/wiki/troubleshooting#low-vram-video-cards",http://boards.4chan.org/e/thread/2786465/sdg-stable-diffusion-ai-general#p2786469,_sdg__Stable_Diffusion___AI_General
"Jun-17-2023, 16:26:12",previous thread highlights,http://boards.4chan.org/e/thread/2786465/sdg-stable-diffusion-ai-general#p2786471,_sdg__Stable_Diffusion___AI_General
"Jun-17-2023, 16:31:27","question time: is there anything i should add to the op or faq? new models, new extensions, etc?",http://boards.4chan.org/e/thread/2786465/sdg-stable-diffusion-ai-general#p2786479,_sdg__Stable_Diffusion___AI_General
"Jun-17-2023, 16:40:59","you should add adetailer since it fix permanently bad eyes https://github.com/bing-su/adetailer  prob also this lora that i have using since i discovered, really improves your gen output https://civitai.com/models/58390/detail-tweaker-lora-lora  and not entirely related but goddamn i'm loving this manga-like style lora https://civitai.com/models/16014/anime-lineart-manga-like-style",http://boards.4chan.org/e/thread/2786465/sdg-stable-diffusion-ai-general#p2786480,_sdg__Stable_Diffusion___AI_General
"Jun-17-2023, 17:20:02","alright, stupid question time: what's the correct use of | and : in tags?  would something like (medium breasts|big breasts)  or (medium breasts:big breasts) do something different? or something specific at all?",http://boards.4chan.org/e/thread/2786465/sdg-stable-diffusion-ai-general#p2786483,_sdg__Stable_Diffusion___AI_General
"Jun-17-2023, 17:33:43","the | is simply used to alternate words every other prompt. ""medium breasts|big breasts"" translates to: on even iterations ""medium breasts breasts"" on odd iterations ""medium big breasts""  i think naturally you'd want to join it with an underscore. so its ""medium_breasts|big_breasts""  the : is for substituting the prompt after a certain number of iterations, so ""[medium_breasts:big_breasts:10]"" would translate to: first 10 steps: ""medium_breasts"" step 11+: ""big_breasts"" https://github.com/automatic1111/stable-diffusion-webui/wiki/features#alternating-words  i actually used "":"" in this image to tweak ""muscular"" so that samus appears toned but not roided out. the ""muscular"" tag has huge influence in early steps, so omitting it for the first part of the gen helps.",http://boards.4chan.org/e/thread/2786465/sdg-stable-diffusion-ai-general#p2786485,_sdg__Stable_Diffusion___AI_General
"Jun-17-2023, 17:50:34","thanks, that was exactly what i wanted to know.",http://boards.4chan.org/e/thread/2786465/sdg-stable-diffusion-ai-general#p2786490,_sdg__Stable_Diffusion___AI_General
"Jun-17-2023, 18:06:49",big ( . y . ),http://boards.4chan.org/e/thread/2786465/sdg-stable-diffusion-ai-general#p2786491,_sdg__Stable_Diffusion___AI_General
"Jun-17-2023, 18:07:22",small (.y.),http://boards.4chan.org/e/thread/2786465/sdg-stable-diffusion-ai-general#p2786492,_sdg__Stable_Diffusion___AI_General
"Jun-17-2023, 18:09:24",2786492 bro?,http://boards.4chan.org/e/thread/2786465/sdg-stable-diffusion-ai-general#p2786495,_sdg__Stable_Diffusion___AI_General
"Jun-17-2023, 18:09:25",fixed,http://boards.4chan.org/e/thread/2786465/sdg-stable-diffusion-ai-general#p2786496,_sdg__Stable_Diffusion___AI_General
"Jun-17-2023, 18:10:43",it's cute. there's 2 versions. no one asked you to like it,http://boards.4chan.org/e/thread/2786465/sdg-stable-diffusion-ai-general#p2786497,_sdg__Stable_Diffusion___AI_General
"Jun-17-2023, 20:47:48","has sd expanded to the point where you can redraw or expand existing images with it? like, redrawing the style but uncensoring it or something like that?",http://boards.4chan.org/e/thread/2786465/sdg-stable-diffusion-ai-general#p2786525,_sdg__Stable_Diffusion___AI_General
"Jun-17-2023, 23:25:07",requesting goblin waifus that don't want to be goblin waifus,http://boards.4chan.org/e/thread/2786465/sdg-stable-diffusion-ai-general#p2786547,_sdg__Stable_Diffusion___AI_General
"Jun-18-2023, 01:22:24","inpainting or wholesale img2img have been there like forever - picrel is a bunch of i2i passes mainly intended to show how to make 3dpd into wholesome 2d, but also decensors in passing.",http://boards.4chan.org/e/thread/2786465/sdg-stable-diffusion-ai-general#p2786560,_sdg__Stable_Diffusion___AI_General
"Jun-18-2023, 04:30:53",request for kuroki rei prompts.,http://boards.4chan.org/e/thread/2786465/sdg-stable-diffusion-ai-general#p2786604,_sdg__Stable_Diffusion___AI_General
"Jun-18-2023, 05:53:56","requesting ""super deformed"" fantasy characters. kind of like in ffix, not completely chibis just you know, kind of cartoonish.  priests, martial artists, thieves, mages, anything you want to play with is fine",http://boards.4chan.org/e/thread/2786465/sdg-stable-diffusion-ai-general#p2786610,_sdg__Stable_Diffusion___AI_General
"Jun-18-2023, 06:24:25",aight /e/ wheres that kuroko shirai model?,http://boards.4chan.org/e/thread/2786465/sdg-stable-diffusion-ai-general#p2786615,_sdg__Stable_Diffusion___AI_General
"Jun-18-2023, 06:29:41","there's a couple of loras on civitai, what's wrong with them?",http://boards.4chan.org/e/thread/2786465/sdg-stable-diffusion-ai-general#p2786616,_sdg__Stable_Diffusion___AI_General
"Jun-18-2023, 08:49:13",requesting a nudie harem of 5 girls. here's my list:  usagi from sailor moon sayo hitsugi from triage-x hakufu sosaku from ikki tousen isane from bleach and flannery from pokemon,http://boards.4chan.org/e/thread/2786465/sdg-stable-diffusion-ai-general#p2786631,_sdg__Stable_Diffusion___AI_General
"Jun-18-2023, 10:19:50","good luck on getting that fulfilled, bro. getting a specific 5 subject image is a lot of work that requires multiple techniques.",http://boards.4chan.org/e/thread/2786465/sdg-stable-diffusion-ai-general#p2786652,_sdg__Stable_Diffusion___AI_General
"Jun-18-2023, 10:45:53","requesting some technomagic taoist cyberpunk girls. just combine magic futuristic elements with traditional chinese elements to see what it comes out if i can be greedy i like ai style more in the ""animish"" fashion than the realistic fashion.",http://boards.4chan.org/e/thread/2786465/sdg-stable-diffusion-ai-general#p2786656,_sdg__Stable_Diffusion___AI_General
"Jun-18-2023, 10:47:19",used that as a prompt verbatim. no negative prompt.,http://boards.4chan.org/e/thread/2786465/sdg-stable-diffusion-ai-general#p2786657,_sdg__Stable_Diffusion___AI_General
"Jun-18-2023, 11:27:48",is this kind of what you were looking for? cyberpunk wants to put girls in body suits or leotards so badly.,http://boards.4chan.org/e/thread/2786465/sdg-stable-diffusion-ai-general#p2786665,_sdg__Stable_Diffusion___AI_General
"Jun-18-2023, 11:37:20",whut?,http://boards.4chan.org/e/thread/2786465/sdg-stable-diffusion-ai-general#p2786666,_sdg__Stable_Diffusion___AI_General
"Jun-18-2023, 12:27:57",2786656,http://boards.4chan.org/e/thread/2786465/sdg-stable-diffusion-ai-general#p2786671,_sdg__Stable_Diffusion___AI_General
"Jun-18-2023, 12:37:26",nothing better than non-functional clothing,http://boards.4chan.org/e/thread/2786465/sdg-stable-diffusion-ai-general#p2786673,_sdg__Stable_Diffusion___AI_General
"Jun-18-2023, 12:50:16",(reply) 2786656,http://boards.4chan.org/e/thread/2786465/sdg-stable-diffusion-ai-general#p2786674,_sdg__Stable_Diffusion___AI_General
"Jun-18-2023, 12:59:19",with added chinese ink style lora,http://boards.4chan.org/e/thread/2786465/sdg-stable-diffusion-ai-general#p2786675,_sdg__Stable_Diffusion___AI_General
"Jun-18-2023, 13:10:12",(reply) 2786656,http://boards.4chan.org/e/thread/2786465/sdg-stable-diffusion-ai-general#p2786678,_sdg__Stable_Diffusion___AI_General
"Jun-18-2023, 13:35:18","2786675this is some great stuff 2786665 but this, this sir, its out of the awesome chart. really amazing",http://boards.4chan.org/e/thread/2786465/sdg-stable-diffusion-ai-general#p2786695,_sdg__Stable_Diffusion___AI_General
"Jun-18-2023, 15:38:03",no problem it really is a cool prompt.,http://boards.4chan.org/e/thread/2786465/sdg-stable-diffusion-ai-general#p2786725,_sdg__Stable_Diffusion___AI_General
"Jun-18-2023, 15:43:24","holy shit, more bowsette please",http://boards.4chan.org/e/thread/2786465/sdg-stable-diffusion-ai-general#p2786726,_sdg__Stable_Diffusion___AI_General
"Jun-18-2023, 16:01:14",(reply) 2786656,http://boards.4chan.org/e/thread/2786465/sdg-stable-diffusion-ai-general#p2786730,_sdg__Stable_Diffusion___AI_General
"Jun-18-2023, 17:09:08",cheers,http://boards.4chan.org/e/thread/2786465/sdg-stable-diffusion-ai-general#p2786742,_sdg__Stable_Diffusion___AI_General
"Jun-18-2023, 18:21:32",these eyes are cool,http://boards.4chan.org/e/thread/2786465/sdg-stable-diffusion-ai-general#p2786768,_sdg__Stable_Diffusion___AI_General
